ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.1915,6.3973,6.0908,-2.1891,6.3265,7.1662,1.9616,0.1213,-1.1304,1.2613,-0.0469,-1.0099,16.75,-21.0,-19.25,259.35,-38.63,15.77,89,2015-10-08 14:05:36:999
-0.3256,6.7995,7.3741,-1.9601,6.1152,7.4116,1.6919,0.5119,8.0E-4,0.1129,-1.9516,-1.0354,16.75,-22.75,-18.0,263.63,-39.91,17.91,179,2015-10-08 14:05:37:089
-2.0877,6.5505,7.3741,-1.2081,6.6778,7.0794,-0.8797,-0.1273,0.2948,1.1888,-1.306,-0.8288,17.25,-24.5,-17.25,249.68,-41.15,10.14,278,2015-10-08 14:05:37:188
-1.3599,7.7572,4.6735,-0.8451,7.7885,5.8988,-0.5148,-0.0312,-1.2253,2.073,-1.4999,-0.4985,17.75,-25.75,-14.5,253.52,-48.86,8.66,378,2015-10-08 14:05:37:288
-1.3599,8.2361,4.3862,-0.79,8.2113,5.3029,-0.775,-0.1891,-1.9316,0.5731,-0.5625,-0.3324,19.5,-27.0,-9.0,255.3,-56.86,8.47,479,2015-10-08 14:05:37:389
-0.7853,8.0445,5.8993,-0.757,8.2594,5.2325,-0.251,0.118,0.5009,0.0426,-1.1803,-0.0682,21.75,-24.75,-5.5,252.46,-57.38,8.23,579,2015-10-08 14:05:37:489
-0.1149,7.2975,4.8842,-0.4504,8.4903,4.887,-0.1071,-1.2875,0.6704,0.7436,-1.2996,-0.3899,23.75,-20.25,-4.0,258.81,-59.97,5.27,678,2015-10-08 14:05:37:588
-0.0766,7.106,6.359,-0.2124,8.157,5.4396,-0.0804,-0.9795,1.2937,-0.784,-1.2208,-0.1278,23.0,-15.0,-5.5,262.02,-59.37,5.03,778,2015-10-08 14:05:37:688
-1.4557,6.3207,7.3358,-0.2547,7.6597,6.1184,-1.201,-1.339,1.2175,0.1364,0.2173,0.2791,23.0,-10.75,-10.0,264.24,-51.82,2.78,879,2015-10-08 14:05:37:789
0.0,8.351,3.9265,0.0145,8.0163,5.6489,-0.0145,0.3347,-1.7224,0.2301,-0.1662,0.1044,23.5,-9.0,-12.75,282.65,-54.83,-0.15,979,2015-10-08 14:05:37:889
-1.494,8.2935,4.7309,0.2868,7.9623,5.7176,-1.7808,0.3313,-0.9866,-0.6562,0.326,0.9204,23.0,-9.5,-12.25,278.54,-54.28,-2.87,1078,2015-10-08 14:05:37:988
-0.0766,7.7572,5.7652,0.6655,7.864,5.8211,-0.7421,-0.1068,-0.0558,0.49,-0.0597,1.0994,22.75,-10.25,-12.5,273.52,-53.31,-6.52,1180,2015-10-08 14:05:38:090
2.3176,7.3167,4.5969,1.6376,8.2987,4.9619,0.5076,-1.1352,-0.4417,0.4517,-0.4176,0.1832,20.75,-12.25,-13.75,268.32,-57.8,-18.26,1279,2015-10-08 14:05:38:189
2.241,8.4467,3.4093,1.8548,8.5352,4.4588,0.5011,-0.912,-1.3368,-0.0916,0.0192,0.0341,17.5,-14.25,-13.75,265.68,-60.5,-22.59,1379,2015-10-08 14:05:38:289
1.6664,8.5617,3.869,1.7659,8.5667,4.4344,-0.2528,0.1099,-0.7186,-0.4069,0.3984,-0.066,14.75,-16.75,-13.0,262.19,-60.88,-21.71,1478,2015-10-08 14:05:38:388
1.3408,8.1977,4.2521,1.6038,8.5708,4.4877,-0.1403,-0.2532,-0.265,0.2173,-0.1321,0.0107,15.5,-15.75,-13.25,264.76,-60.92,-19.67,1578,2015-10-08 14:05:38:488
1.992,8.3701,2.8347,1.8211,8.786,3.9572,0.1708,-0.4159,-1.1225,0.1001,-0.2258,-0.0447,16.0,-16.75,-13.25,263.14,-62.01,-21.11,1678,2015-10-08 14:05:38:588
1.1684,8.3318,2.8347,1.8985,8.8525,3.7683,-0.4987,-0.5827,-0.9138,0.2642,-0.2983,0.2131,16.75,-18.0,-13.0,259.78,-63.79,-24.82,1780,2015-10-08 14:05:38:690
2.1261,8.1786,3.0454,2.0937,8.8383,3.6974,0.1409,-0.77,-0.1426,-0.424,0.049,0.3089,15.25,-19.0,-13.0,260.6,-64.52,-26.74,1879,2015-10-08 14:05:38:789
2.2793,8.0637,3.5817,2.3076,8.6668,3.9663,-0.031,-0.6348,-0.4052,-0.1704,0.1726,0.2535,14.5,-19.5,-13.5,254.96,-62.87,-29.71,1978,2015-10-08 14:05:38:888
3.1987,8.6957,3.0454,2.5047,8.6204,3.9479,0.7159,0.0668,-0.8977,-0.196,-0.1087,0.1278,13.0,-20.25,-13.75,255.68,-62.1,-30.19,2079,2015-10-08 14:05:38:989
