ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.1915,-0.2298,9.7492,-0.289,-0.2363,9.7995,0.1166,0.0256,-0.0887,0.0618,0.0128,-0.0192,8.25,-32.5,-25.0,192.55,1.38,1.69,196,2015-10-08 14:08:51:365
-0.1724,-0.2298,9.73,-0.2891,-0.2288,9.7997,0.1167,-0.0011,-0.0697,-0.0107,0.0149,0.1641,7.75,-32.5,-24.75,192.56,1.34,1.69,290,2015-10-08 14:08:51:459
-0.1915,-0.2298,9.7492,-0.2824,-0.2248,9.8,0.0908,-0.0051,-0.0508,0.0682,-0.017,-0.0128,9.0,-32.25,-23.75,194.27,1.44,1.68,396,2015-10-08 14:08:51:565
-0.1915,-0.2107,9.7492,-0.3044,-0.1963,9.8,0.1128,-0.0144,-0.0508,-0.0533,-0.1065,-0.0597,9.25,-32.5,-23.5,194.37,1.36,1.65,490,2015-10-08 14:08:51:659
-0.1532,-0.2298,9.8067,-0.2962,-0.1374,9.8012,0.1429,-0.0924,0.0054,0.0575,0.0256,-0.032,9.25,-34.75,-24.75,193.4,1.15,1.78,590,2015-10-08 14:08:51:759
-0.1724,-0.2107,9.7875,-0.3007,-0.109,9.8014,0.1283,-0.1017,-0.0139,-0.0107,-0.0447,0.0874,9.0,-36.0,-25.25,193.17,0.8,1.73,690,2015-10-08 14:08:51:859
-0.1724,-0.249,9.845,-0.3076,-0.0818,9.8015,0.0969,-0.148,-0.014,0.0064,-0.0511,0.0128,9.75,-35.5,-25.0,194.62,0.61,1.82,791,2015-10-08 14:08:51:960
-0.1915,-0.2298,9.8067,-0.2749,-0.0945,9.8023,0.0834,-0.1354,0.0043,-0.049,-0.0682,-0.1257,7.75,-33.75,-24.75,191.96,0.6,1.7,890,2015-10-08 14:08:52:059
-0.2107,-0.2298,9.7875,-0.2933,-0.0876,9.8019,0.0826,-0.1422,-0.0144,-0.0234,0.0533,0.0959,7.75,-32.25,-26.0,192.7,0.58,1.6,991,2015-10-08 14:08:52:160
-0.1532,-0.249,9.7109,-0.2936,-0.1063,9.8017,0.1404,-0.1427,-0.0908,-0.066,-0.0256,-0.0597,7.75,-33.75,-25.5,193.93,0.61,1.71,1090,2015-10-08 14:08:52:259
-0.2107,-0.2298,9.7683,-0.2828,-0.1246,9.8018,0.0721,-0.067,-0.1101,0.0128,-0.0469,-0.0426,8.5,-35.0,-25.5,191.6,0.72,1.71,1190,2015-10-08 14:08:52:359
-0.1724,-0.2298,9.7683,-0.2624,-0.1245,9.8023,0.09,-0.0862,-0.1106,-0.0213,0.0192,0.0107,7.75,-35.0,-25.5,191.61,0.69,1.63,1290,2015-10-08 14:08:52:459
-0.1724,-0.2107,9.7492,-0.2687,-0.0862,9.8026,0.1012,-0.1142,-0.0532,0.0256,-0.0149,0.0852,8.5,-33.75,-24.75,193.61,0.58,1.61,1390,2015-10-08 14:08:52:559
-0.1915,-0.2298,9.73,-0.2726,-0.0631,9.8027,0.1019,-0.1429,-0.0725,0.0383,-0.0021,0.0554,8.75,-34.75,-24.75,193.28,0.42,1.59,1490,2015-10-08 14:08:52:659
-0.1915,-0.2682,9.8067,-0.2657,-0.0682,9.8028,0.1013,-0.1652,-0.0726,0.0937,-0.0021,0.0064,7.75,-34.0,-24.5,192.08,0.36,1.64,1590,2015-10-08 14:08:52:759
-0.1915,-0.2873,9.7109,-0.265,-0.0381,9.803,0.0781,-0.2511,-0.092,-0.0937,-0.1364,0.0362,8.75,-33.75,-25.0,193.71,0.22,1.55,1690,2015-10-08 14:08:52:859
-0.2107,-0.2682,9.73,-0.2681,-0.0263,9.8029,0.0204,-0.1814,-0.0158,-0.1726,-0.049,-0.1172,8.0,-33.75,-24.5,192.16,0.15,1.57,1790,2015-10-08 14:08:52:959
-0.1532,-0.2873,9.8067,-0.2446,-0.0421,9.8035,0.0721,-0.2737,-0.1118,0.0234,-0.1065,-0.1236,8.75,-33.75,-25.25,193.81,0.17,1.49,1890,2015-10-08 14:08:53:059
-0.2298,-0.249,9.7109,-0.2386,-0.0482,9.8036,0.0248,-0.1945,-0.0546,0.0575,-0.0405,-0.0234,8.75,-33.75,-25.25,193.81,0.28,1.39,1990,2015-10-08 14:08:53:159
-0.1724,-0.249,9.7109,-0.2099,-0.0274,9.8044,0.0279,-0.2103,-0.0745,-0.0362,-0.0554,-0.0469,10.25,-33.75,-25.5,195.52,0.16,1.23,2090,2015-10-08 14:08:53:259
-0.2107,-0.249,9.7109,-0.2034,-0.0728,9.8043,-0.0092,-0.1654,-0.0935,0.0383,0.0128,-0.0618,8.75,-34.75,-26.0,193.55,0.31,1.16,2190,2015-10-08 14:08:53:359
-0.1532,-0.249,9.7109,-0.1958,-0.0775,9.8044,0.0043,-0.1715,0.0023,-0.0362,-0.0746,0.1491,7.75,-33.75,-25.5,192.33,0.42,1.21,2291,2015-10-08 14:08:53:460
-0.2107,-0.1915,9.7492,-0.2289,-0.0719,9.8037,0.0182,-0.1197,-0.0545,-0.0383,-0.0554,-0.1044,7.5,-33.75,-25.5,192.33,0.42,1.21,2391,2015-10-08 14:08:53:560
-0.1341,-0.2107,9.73,-0.202,-0.065,9.8044,0.068,-0.1457,-0.0743,-0.0043,-0.0746,-0.0043,8.25,-32.75,-25.0,192.71,0.38,1.18,2491,2015-10-08 14:08:53:660
