ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS,state
0.5938,7.9871,4.6735,0.8899,8.5616,4.6986,-0.0835,-0.7311,-0.0356,-1.0972,-0.0895,0.0959,-1.75,-33,17.5,168.8,-67.03,-14.67,60,2015-10-08 15:48:16:361,0
0.6512,7.2592,6.4356,0.855,7.9978,5.6102,0.6018,-0.268,-0.9519,-0.7052,0.2493,0.0043,0,-32.25,13.75,175.37,-56.41,-9.72,160,2015-10-08 15:48:16:461,0
0.8811,7.0485,6.7995,0.8646,7.9267,5.7088,0.1243,-0.8244,1.1874,0.3388,0.017,0.098,-0.25,-30.5,9.25,176.6,-53.6,-8.12,260,2015-10-08 15:48:16:561,0
1.2067,7.8147,4.7309,1.032,8.2427,5.2119,0.1843,-0.3921,-0.5392,0.6605,-0.196,-0.0234,-2.25,-30.75,11.75,173.9,-55.03,-9.34,360,2015-10-08 15:48:16:661,0
1.245,8.0828,4.3862,1.1682,8.3981,4.9272,0.1725,-0.3536,-0.4836,0.1172,-0.066,0.098,-3,-31.75,13.75,170.12,-58.17,-12.04,460,2015-10-08 15:48:16:761,0
1.4174,7.8338,4.8842,1.2733,8.4159,4.8706,0.1441,-0.582,0.0136,0.0597,-0.0533,0.0085,-4.5,-30.25,16.25,164.46,-58.92,-14.07,560,2015-10-08 15:48:16:861,0
1.3791,8.0062,4.4628,1.3249,8.4829,4.7386,0.0542,-0.4767,-0.2758,0.1875,0.0128,0.0043,-5.25,-31,16.5,163.91,-59.36,-14.94,660,2015-10-08 15:48:16:961,0
1.494,8.0637,4.3479,1.3834,8.5104,4.6722,0.168,-0.4659,-0.3243,0.1278,-0.0639,0.1023,-6.75,-30.5,17,157.11,-60.21,-16.49,760,2015-10-08 15:48:17:061,0
1.5897,8.0445,4.5203,1.4225,8.5415,4.6033,0.129,-0.5353,-0.1213,0.0618,-0.0128,0.0192,-6.25,-30.5,17,158.53,-60.57,-17.17,860,2015-10-08 15:48:17:161,0
1.4365,8.2935,4.2521,1.4787,8.5765,4.5196,0.12,-0.5338,-0.2074,0.0767,0.0597,-0.0128,-4.5,-29.5,17,161.64,-60.79,-17.88,960,2015-10-08 15:48:17:261,0
