ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS,state
0.9194,8.734,2.6432,0.7872,9.4377,2.5457,0.2131,-0.6427,0.1337,0.1001,0.0959,-0.1555,-5.25,-41.5,9.5,157.77,-74.23,-17.18,26,2015-10-08 14:00:50:805,1
1.0151,8.6766,2.375,0.7023,9.4485,2.5304,0.359,-0.6981,-0.2813,-0.1427,0.0639,-0.0234,-4.75,-42,10.25,155.37,-74.44,-16.16,126,2015-10-08 14:00:50:905,1
1.3408,8.8298,3.0263,0.7517,9.4145,2.6405,0.5817,-0.601,0.3341,0.0746,0.1513,-0.1342,-4,-41.25,10.5,161.5,-74.08,-15.67,226,2015-10-08 14:00:51:005,1
0.6895,8.9447,2.3367,0.6717,9.4119,2.6712,0.0395,-0.4699,-0.33,-0.0107,0.0682,-0.0447,-4,-40.5,10.75,164.56,-73.77,-15.2,326,2015-10-08 14:00:51:105,1
0.5555,8.9256,2.49,0.6233,9.4325,2.6094,-0.0641,-0.4992,-0.1483,0.0426,-0.1214,0.0341,-5,-40.25,10,159.46,-74.12,-13.43,426,2015-10-08 14:00:51:205,1
1.2258,9.0022,2.5474,0.6172,9.4404,2.5822,0.4892,-0.4141,-0.0135,0.0128,0.0788,0.0192,-4.75,-40,10,159.46,-74.12,-13.43,526,2015-10-08 14:00:51:305,1
1.0726,8.9064,2.0303,0.5437,9.4616,2.5207,0.6526,-0.4495,-0.4439,0.1385,-0.0277,-0.2237,-4.75,-42.5,10.25,160.22,-74.75,-12.17,625,2015-10-08 14:00:51:404,1
1.743,8.7915,2.5283,0.5088,9.4774,2.4678,1.1106,-0.7416,-0.1552,-0.0021,-0.0021,-0.1449,-3.75,-41.5,10.25,162.83,-75.11,-11.65,725,2015-10-08 14:00:51:504,1
1.1492,8.5617,1.4365,0.4287,9.5236,2.2996,0.7205,-0.9619,-0.8631,0.228,-0.1001,-0.2429,-3.5,-41.25,10,162.83,-75.11,-11.65,825,2015-10-08 14:00:51:604,1
0.9002,8.4084,1.6472,0.3886,9.5524,2.1845,0.4701,-1.2062,-0.6148,0.1555,-0.3792,-0.3153,-2.75,-42.25,11.25,163,-76.2,-10.56,925,2015-10-08 14:00:51:704,1
-0.0766,8.5617,1.6855,0.4672,9.5672,2.1026,-0.2899,-0.9283,-0.5015,-0.0959,-0.7798,0.0597,-2.25,-41.5,11.5,168.11,-76.92,-11.18,1025,2015-10-08 14:00:51:804,1
-0.4214,8.9447,2.8156,0.7867,9.5369,2.1448,-0.9891,-0.6022,0.5844,-0.0021,-0.8075,0.4389,-1.75,-43.5,11,166.78,-77.24,-13.82,1125,2015-10-08 14:00:51:904,1
-0.3448,10.5919,3.237,1.2741,9.4726,2.1946,-1.6188,1.1193,1.0424,-0.1236,-0.4922,0.6924,-1.75,-43.25,11.25,162.21,-76.18,-23.35,1225,2015-10-08 14:00:52:004,1
-1.7813,11.0133,3.3136,1.3705,9.4448,2.2555,-3.1518,1.5685,1.0581,0.3345,0.5092,0.1875,-2.75,-42.5,12,155.85,-74.3,-31.52,1325,2015-10-08 14:00:52:104,1
-1.0534,11.9327,2.8539,0.478,9.6091,1.8991,-1.5315,2.3236,0.9548,1.1739,1.5382,-0.7968,-4.75,-41.5,12.25,151.85,-75.48,-26.83,1425,2015-10-08 14:00:52:204,1
-1.5131,10.0748,2.1261,-0.9342,9.7113,0.9941,-0.3131,0.3522,1.3844,1.0695,1.5446,-1.3934,-5.75,-40.75,12.75,176.59,-82.12,20.05,1525,2015-10-08 14:00:52:304,1
-2.3367,8.8107,1.2258,-2.2785,9.5381,0.0613,1.4787,-0.7892,0.4519,0.931,0.6775,-1.142,-5.5,-39.25,14.25,219.49,-79.15,77.08,1625,2015-10-08 14:00:52:404,1
0.0766,9.232,0.1915,-2.6012,9.4527,-0.2249,2.7076,-0.2046,0.6372,0.8842,0.6349,-0.1555,-2.25,-40.75,17.75,235.64,-74.74,91.27,1725,2015-10-08 14:00:52:504,1
0.4214,8.2552,-2.6815,-2.5405,9.3989,-1.173,2.9937,-1.1389,-1.5398,0.3537,-0.1257,0.3345,1,-40.5,20,254.84,-73.25,106.68,1825,2015-10-08 14:00:52:604,1
1.8771,7.4316,-2.2601,-2.0606,9.5026,-1.2749,3.6887,-1.9752,-0.1425,-0.3771,-0.7265,0.7457,2.25,-38.75,23,268.36,-73.42,114.78,1925,2015-10-08 14:00:52:704,1
2.3367,6.4739,-1.9345,-0.8255,9.6156,-1.7407,5.0968,-2.1456,-1.4388,0.9779,-1.2634,1.6789,3,-37.75,26,305.49,-78.4,133.41,2025,2015-10-08 14:00:52:804,1
2.0877,8.2169,1.0343,0.6357,9.6914,-1.3573,2.199,-1.034,1.4339,-1.2677,0.3707,0.7649,1.75,-38.5,26.75,18.82,-79.3,-170.56,2125,2015-10-08 14:00:52:904,1
1.3982,8.1786,-2.0494,1.1486,9.6761,-1.1066,0.9583,-1.5166,-0.7513,0.0639,0.147,0.2493,-1,-36.25,27.75,53.45,-81.57,-133.57,2225,2015-10-08 14:00:53:004,1
2.1452,8.5617,-1.6664,1.4862,9.641,-1.0064,0.659,-1.0793,-0.6599,-0.017,0.1023,0.3196,-3.25,-38.75,25.75,56.05,-80.26,-129.94,2325,2015-10-08 14:00:53:104,1
2.7581,8.6383,-1.245,1.6409,9.6289,-0.8728,1.0789,-1.0672,-0.2955,-0.2663,0.1129,-0.1044,-4.5,-38.25,25.75,63.43,-78.94,-122.82,2425,2015-10-08 14:00:53:204,1
2.7198,8.5425,-0.8045,1.6012,9.6546,-0.6294,1.2144,-0.978,-0.1176,-0.2493,0.2365,-0.2237,-5.75,-37.75,25.25,66.12,-79.07,-118.01,2526,2015-10-08 14:00:53:305,1
2.624,8.9639,0.9768,1.4812,9.6938,-0.084,1.9914,-0.983,1.3565,-0.4708,0.6349,-0.4815,-6,-37.75,24.5,78.96,-80.74,-101.35,2626,2015-10-08 14:00:53:405,1
3.237,8.6766,0.2298,1.1194,9.7417,0.1251,0.8329,-1.0354,-0.1682,0.3366,0.4495,-0.7457,-5.75,-40.25,22.5,96.32,-82.55,-81.63,2726,2015-10-08 14:00:53:505,1
1.1109,8.849,0.498,0.4944,9.792,0.2061,0.9242,-0.7856,0.3446,0.0298,0.1449,-0.8352,-6,-40,20.75,95.84,-85.06,-77.25,2826,2015-10-08 14:00:53:605,1
-1.8771,8.5234,1.3408,-0.0445,9.7937,0.5017,-1.8326,-1.2704,0.8391,-0.6477,0.5582,-0.2365,-4.25,-40.75,21,108.24,-88.39,-63.9,2926,2015-10-08 14:00:53:705,1
-3.5434,9.6343,0.5363,-0.4661,9.7736,0.6563,-3.0774,-0.1393,-0.12,0.0021,0.0682,0.0746,-2.25,-41,20.5,202.16,-85.88,30.57,3026,2015-10-08 14:00:53:805,1
-3.4093,10.1131,-0.3256,-0.6623,9.7702,0.5236,-2.7471,0.3429,-0.8492,-0.1065,-0.424,0.0959,-2,-42.25,19,219.17,-85.65,51.15,3126,2015-10-08 14:00:53:905,1
-2.7773,9.9216,0.9385,-0.8331,9.7466,0.6933,-1.9442,0.175,0.2452,-0.1364,-0.3217,-0.017,-2.5,-40.75,19.25,222.07,-84.24,56.25,3226,2015-10-08 14:00:54:005,1
-1.7621,10.1897,0.6321,-0.9928,9.7323,0.6839,-0.7694,0.4574,-0.0518,0.1491,0.1385,0.032,-1.75,-41.5,18.75,218.7,-82.98,53.96,3326,2015-10-08 14:00:54:105,1
-0.2682,9.0214,0.6321,-1.04,9.7347,0.569,0.7336,-0.6942,0.1206,0.147,0.0043,-0.1917,-0.25,-41.5,17.75,221.5,-82.94,55.44,3425,2015-10-08 14:00:54:204,1
-0.498,8.9064,0.3639,-1.0333,9.7365,0.5512,0.5353,-0.83,-0.1873,-0.0746,0.0767,-0.0618,0.5,-41.5,18.25,233.1,-83.14,62.33,3525,2015-10-08 14:00:54:304,1
-0.4788,9.0214,0.8236,-0.9484,9.7388,0.6532,0.4312,-0.6408,0.2279,0.049,-0.0043,0.0341,0.5,-41.25,18.5,231.33,-83.08,59.87,3625,2015-10-08 14:00:54:404,1
-0.2298,9.5002,0.4405,-0.7762,9.7588,0.5777,0.6421,-0.182,-0.2138,0.1427,-0.0128,0.2344,0,-41.75,19,224.53,-83.26,55.44,3726,2015-10-08 14:00:54:505,1
0.1724,9.4044,0.1915,-0.7204,9.7686,0.4757,0.8708,-0.2101,-0.2657,-0.0256,-0.1087,-0.0256,0,-42.25,18.5,226.56,-84.85,54.75,3826,2015-10-08 14:00:54:605,1
0.4405,8.5042,0.4022,-0.6994,9.766,0.5542,1.1208,-1.2043,-0.2286,-0.1981,-0.1193,0.0618,-1,-42.25,18.75,225.4,-84.96,56.26,3926,2015-10-08 14:00:54:705,1
1.0151,8.5425,0.5938,-0.4467,9.7708,0.7094,1.4044,-1.1708,0.2866,-0.2301,-0.2642,0.3025,-0.25,-43,18.25,218.03,-84.66,45.8,4025,2015-10-08 14:00:54:804,1
0.7278,8.6,0.9768,-0.0121,9.7776,0.7539,0.5293,-1.216,0.1654,-0.2131,-0.3025,0.4091,-0.25,-42.75,18.25,194.34,-85.74,16.82,4125,2015-10-08 14:00:54:904,1
0.3448,8.734,0.6512,0.3651,9.7748,0.7,0.0754,-1.0408,-0.2977,-0.1321,-0.7095,0.6264,-0.75,-42.25,18.25,180.78,-85.59,0.92,4225,2015-10-08 14:00:55:004,1
0.2873,10.0365,0.747,1.1015,9.7137,0.7754,-0.6226,0.2845,0.1056,-0.0511,-0.9843,0.7713,-2,-41.25,18,137.46,-83.44,-46.12,4325,2015-10-08 14:00:55:104,1
-0.8619,10.726,2.49,1.848,9.5447,1.2864,-2.7099,1.1814,1.2036,-0.4922,-0.6157,0.7031,-3.75,-41.75,17.75,127.88,-79.46,-58.53,4425,2015-10-08 14:00:55:204,1
-1.4174,12.4115,3.0263,1.6615,9.5606,1.4159,-2.9065,2.9084,1.687,0.2684,0.4794,-0.1023,-5.25,-41.75,16.75,131.94,-76.73,-55.16,4525,2015-10-08 14:00:55:304,1
-0.7278,11.4156,2.4134,0.8016,9.7099,1.1162,-1.8742,1.4567,1.3163,0.7989,1.159,-0.9545,-7,-42.25,16.5,132.91,-77.14,-49.56,4625,2015-10-08 14:00:55:404,1
-1.7621,9.7683,1.4365,-0.4376,9.7814,0.5511,-1.2288,0.0061,1.0386,0.5625,1.0376,-1.0717,-6.25,-41,17.75,169.4,-85.84,6.21,4725,2015-10-08 14:00:55:504,1
-2.1644,9.6726,0.7853,-1.5082,9.688,-0.1942,-0.6562,-0.0155,0.9795,0.2514,0.7052,-0.8139,-4.5,-41.25,19.25,246.78,-82.75,92.79,4825,2015-10-08 14:00:55:604,1
-1.2833,9.0022,2.375,-1.8251,9.6329,-0.2142,0.8483,-0.8606,2.7042,0.0298,0.2557,0.3558,-1.25,-39.5,22.5,260.13,-78.74,101.83,4925,2015-10-08 14:00:55:704,1
1.3791,7.3358,0.4214,-1.4339,9.6955,-0.3352,2.8129,-2.3596,0.7565,0.5965,0.0575,0.7201,0,-41,22,261.52,-80.57,99.24,5025,2015-10-08 14:00:55:804,1
6.0525,6.5122,-0.3065,-0.1899,9.788,-0.5732,6.2424,-3.2758,0.2667,0.4623,-0.7073,0.6157,-1,-40.75,22.5,297.13,-84.95,127.75,5125,2015-10-08 14:00:55:904,1
3.9648,7.5465,-0.6321,0.6024,9.7592,-0.7519,3.5922,-2.3276,0.1581,0.0341,-0.4048,0.9374,-2.25,-39.25,24.25,336.88,-86.47,161.67,5226,2015-10-08 14:00:56:005,1
3.8307,9.1171,-1.2067,1.5617,9.6407,-0.8882,2.2058,-0.5146,-0.3346,-0.0021,-0.5262,0.5497,-5.25,-39.25,25.25,49.12,-82.84,-130.18,5325,2015-10-08 14:00:56:104,1
