ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS,state
0.6704,8.6574,2.1261,0.4098,9.363,2.8873,0.2606,-0.6673,-0.6464,-0.0383,0.0256,-0.0959,-3.75,-43,10.75,166.34,-72.7,-8.08,155,2015-10-08 14:46:00:109,1
0.7853,8.849,2.7007,0.4049,9.3427,2.9531,0.4762,-0.4554,-0.1759,-0.1385,-0.0533,-0.081,-4,-41.5,10.25,166.03,-72.3,-7.81,255,2015-10-08 14:46:00:209,1
1.2067,9.0597,2.739,0.4076,9.3342,2.9795,0.7991,-0.2745,-0.2405,0.0383,0.0405,-0.2344,-4.25,-41.75,10.25,166.24,-72.12,-7.91,355,2015-10-08 14:46:00:309,1
1.6664,8.8681,2.5857,0.3675,9.3594,2.9047,1.2989,-0.4913,-0.3189,-0.0085,-0.1321,-0.3451,-4.25,-41.75,10.25,166.5,-72.41,-7.09,454,2015-10-08 14:46:00:408,1
1.3791,8.6383,2.2027,0.2533,9.4319,2.673,1.1811,-0.9009,-0.7358,0.3281,-0.4027,-0.1832,-4.25,-41.75,10.25,166.36,-72.63,-7.21,555,2015-10-08 14:46:00:509,1
1.0534,8.0062,2.1261,0.225,9.4892,2.4648,0.8285,-1.483,-0.3387,0.0107,-0.6541,-0.1854,-2.75,-43,11.75,169.75,-75.21,-4.98,655,2015-10-08 14:46:00:609,1
0.6704,8.3127,2.2218,0.3454,9.491,2.4438,0.325,-1.1783,-0.222,0.1406,-0.7073,-0.0149,-2.5,-42.5,13,171.5,-75.31,-6.35,755,2015-10-08 14:46:00:709,1
-0.0958,9.4619,1.494,0.7781,9.5233,2.2074,-0.8739,-0.0614,-0.7134,-0.1704,-1.044,0.4368,-1,-43,13.75,170.01,-76.28,-12.87,855,2015-10-08 14:46:00:809,1
-0.4788,10.4579,2.9305,1.2054,9.4681,2.2523,-1.6843,0.9898,0.6782,-0.1044,-1.0013,0.4623,0,-43,14.75,164.76,-75.38,-25.77,955,2015-10-08 14:46:00:909,1
-1.992,10.8984,4.0031,1.3475,9.4483,2.255,-3.3313,1.0295,1.5679,0.179,-0.1641,0.3643,0,-41.75,14.5,163.2,-74.9,-28.16,1055,2015-10-08 14:46:01:009,1
-1.743,11.3964,4.7884,0.9721,9.4477,2.4428,-3.0134,2.1422,2.3283,0.1704,1.4871,0.1023,-1.25,-41.5,14.25,162.75,-74.35,-26.11,1155,2015-10-08 14:46:01:109,1
