ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,GRAVITY_X,GRAVITY_Y,GRAVITY_Z,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,MAGNETIC_FIELD_X,MAGNETIC_FIELD_Y,MAGNETIC_FIELD_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,timestamp
0.6704,8.6574,2.1261,0.4098,9.363,2.8873,0.2606,-0.6673,-0.6464,-0.0383,0.0256,-0.0959,-3.75,-43,10.75,166.34,-72.7,-8.08,155,2015-10-08 14:46:00:109
0.7853,8.849,2.7007,0.4049,9.3427,2.9531,0.4762,-0.4554,-0.1759,-0.1385,-0.0533,-0.081,-4,-41.5,10.25,166.03,-72.3,-7.81,255,2015-10-08 14:46:00:209
